import time: self [us] | cumulative | imported package
import time:       163 |        163 |                           huggingface_hub.utils._lfs
import time:      1457 |       2026 |                         huggingface_hub.utils._http
import time:       417 |        417 |                         huggingface_hub.utils._pagination
import time:       294 |        294 |                         huggingface_hub.utils._paths
import time:       742 |        742 |                         huggingface_hub.utils._safetensors
import time:       300 |        300 |                         huggingface_hub.utils._telemetry
import time:      1397 |       1397 |                         huggingface_hub.utils._xet
import time:       473 |     182541 |                       huggingface_hub.utils
import time:       604 |        604 |                       transformers._typing
import time:       383 |     183527 |                     transformers.utils.logging
import time:       905 |        905 |                         _csv
import time:       439 |       1344 |                       csv
import time:    395302 |     396645 |                     transformers.utils.import_utils
import time:      1681 |     637431 |                   transformers.utils.generic
import time:      2831 |     655504 |                 transformers.utils.auto_docstring
import time:       418 |        418 |                     jinja2.bccache
import time:      1158 |       1158 |                         markupsafe._speedups
import time:       496 |       1654 |                       markupsafe
import time:      1414 |       1414 |                         jinja2.utils
import time:      1565 |       2979 |                       jinja2.nodes
import time:       440 |        440 |                         jinja2.exceptions
import time:       225 |        225 |                           jinja2.visitor
import time:       470 |        694 |                         jinja2.idtracking
import time:       191 |        191 |                         jinja2.optimizer
import time:       961 |       2284 |                       jinja2.compiler
import time:       296 |        296 |                           jinja2.async_utils
import time:      1248 |       1248 |                           jinja2.runtime
import time:      1544 |       3088 |                         jinja2.filters
import time:       510 |        510 |                         jinja2.tests
import time:       287 |       3884 |                       jinja2.defaults
import time:       586 |        586 |                         jinja2._identifier
import time:      1162 |       1747 |                       jinja2.lexer
import time:       615 |        615 |                       jinja2.parser
import time:      1151 |      14310 |                     jinja2.environment
import time:       587 |        587 |                     jinja2.loaders
import time:       272 |      15586 |                   jinja2
import time:       473 |        473 |                     pprint
